trader,cluster
0x437854ead22fa00c7d3a8b0a42b0ce06c8ba2145,9
0x43f9e33ee7761bca6b75fbb36d6c943ac0b2be77,-1
0x43fa26c444767ea3b82ad2f998bc995305823a32,-1
0x445fc160c4ad86f57b64d6e94f4f80be1ac7039e,12
0x44c9c226cdfae773002b3f86d3966af3cd8f277c,2
0x44ca31a9915f7fdbeb340d04fbfe3ba64440d1c6,10
0x44f481f406d178c278346c5f94d8ac19438f7edd,9
0x45323d50a3e1ca8fdf24df0a323fc9e38fd6b01c,11
0x454e98e79eb566e9147680d0ab92b3529165f16c,22
0x45650086c2688797bf9470258777396c87033b4a,-1
0x45c42fbd450b5506f8dc819d46036630fe75b81e,2
0x45d26f28196d226497130c4bac709d808fed4029,0
0x464210fe13b2bc741954c48218d124c1934f103e,17
0x4648baa72d8cfe3f31882fe52bd9fd8e6d539373,11
0x469e9a7f624b04c24f0e64edf8d8a277e6bf58a5,-1
0x47649d96f78ea3a70db88c745913484cc558c7ae,11
0x476f75a7ddcf6ca1ed1ff6c817d7315f216ec60d,-1
0x47807d3f6ae34ff6aa1fc8fe4e7b742197c1e125,3
0x4802223a6e38cbb730783923978a5aabb7ce7b2c,-1
0x487649b053bfa3e0a65898145ddde5d4d3e77e50,-1
0x48b5c751c2d63ac9134ce31f8d3e08b6836f6ee0,-1
0x49801afcc5874c7cebd8d968f960a8cb6c7d7eee,13
0x4a19c9768629266caad38bd6857c6a4161532c19,18
0x4a1b3580f7ac72bc54175f05b76092eeb7a266aa,16
0x4a58938dfb597c1dba490c8c44f151812e0606c9,1
0x4a96036fb1529561fa3eeeb2781fad2d4f25500e,22
0x4b2ead13203f217fc8b6853f9c99fccd1bf53598,4
0x4ba112fa04f3e360f8eb7444b776f9ebaed82fda,-1
0x4c60401b03b5b444750abb01f142e9f5c65ee7a1,-1
0x4c6eacc86bd4cee8f41cf257f054ca53b2cef8b3,9
0x4c7d7b58b0da6a7dc7d49f48869318942a0f60cb,-1
0x4ca3b77417ff7a534e951cf56e3fc353e4289b35,15
0x4cf1aa03b2ee27f922c2b089dc9f7d3a2551e717,-1
0x4d0984009c62830b9f762514716f2c6b34ea228a,-1
0x4d3e7f2c578b5edc58eb352da6e73b1184db7a4a,11
0x4dd6e1094e99459bee550d5b7f20aec4b5de7bc9,-1
0x4dec0a851849056e259128464ef28ce78afa27f6,1
